model,episode,t,prior_residual,prior_position_residual,prior_velocity_residual,dim0_residual,dim1_residual,dim2_residual,dim3_residual,dim4_residual,dim5_residual,dim6_residual,dim7_residual,dim8_residual,dim9_residual,dim10_residual,dim11_residual,dim12_residual,dim13_residual,dim14_residual,dim15_residual,dim16_residual,dim17_residual
tssm,662,0,0.32808852195739746,0.012359765358269215,0.4638225734233856,0.022818222641944885,0.0030164122581481934,0.013922667130827904,0.014175623655319214,0.018560796976089478,0.007907867431640625,0.003680432215332985,0.003655858337879181,0.004045587033033371,0.29712188243865967,0.5049872398376465,0.006585359573364258,0.9706094264984131,0.3927280902862549,0.6179826259613037,0.3346548080444336,0.04955168068408966,0.01325884461402893
tssm,662,1,0.3964952528476715,0.015949292108416557,0.5605020523071289,0.030269160866737366,0.0244884192943573,0.0013868659734725952,0.016986101865768433,0.0050063063390553,0.000786900520324707,0.020753629505634308,0.005114732310175896,0.0007122643291950226,0.6491976976394653,0.0032329559326171875,1.4034605026245117,0.05029795691370964,0.16788792610168457,0.5548715591430664,0.31205326318740845,0.008624091744422913,0.015607550740242004
tssm,662,2,0.41810423135757446,0.01952684484422207,0.5909661650657654,0.011659912765026093,0.04224896430969238,0.00044073164463043213,0.017512738704681396,0.006918728351593018,0.02720046043395996,0.009690612554550171,0.01787281036376953,0.0016676485538482666,0.024065136909484863,0.49134373664855957,0.5450721383094788,0.41239774227142334,1.4693862199783325,0.4506015181541443,0.26503896713256836,0.026114389300346375,0.03050433099269867
tssm,662,3,0.5699224472045898,0.01664493978023529,0.8058202266693115,0.021365446969866753,0.007368952035903931,0.02601011097431183,0.027606695890426636,0.0026813894510269165,0.0067806243896484375,0.008448570966720581,0.008114976808428764,0.01880555972456932,0.39147746562957764,0.6176080703735352,0.388688325881958,0.19642171263694763,1.1727403402328491,1.9333688020706177,0.02245187759399414,0.0655401423573494,0.041555002331733704
tssm,662,4,0.1534324586391449,0.016063489019870758,0.21639084815979004,0.018486052751541138,0.01449844241142273,0.007888011634349823,0.03361286222934723,0.01432991772890091,0.009964227676391602,0.004462495446205139,0.012400444597005844,0.010000992566347122,0.286144495010376,0.2598280906677246,0.07735657691955566,0.0848664939403534,0.35469675064086914,0.33748817443847656,0.1365978717803955,0.01700761169195175,0.013892609626054764
tssm,662,5,0.1269422024488449,0.014555792324244976,0.1789323389530182,0.007743731141090393,0.018942922353744507,0.008748196065425873,0.006777763366699219,0.030872099101543427,0.0033843517303466797,0.017646539956331253,0.009461067616939545,0.0003446750342845917,0.27958154678344727,0.06964065134525299,0.09779119491577148,0.3068610429763794,0.05549967288970947,0.0310991108417511,0.3115837574005127,0.01658339984714985,0.001312408596277237
tssm,662,6,0.11827956140041351,0.014047592878341675,0.1666816622018814,0.020225048065185547,0.011865556240081787,0.00984184443950653,0.026058033108711243,0.003084808588027954,0.015414655208587646,0.004222992807626724,0.00856710970401764,0.010579708963632584,0.1658582091331482,0.09260094165802002,0.0326075553894043,0.20023596286773682,0.3940311074256897,0.0952293872833252,0.0917435884475708,0.006300982087850571,0.004202841781079769
tssm,662,7,0.18895821273326874,0.010773208923637867,0.26701003313064575,0.002269826829433441,0.018754929304122925,0.0088362917304039,0.012875176966190338,0.0032478421926498413,0.008066713809967041,0.012685472145676613,0.012285307049751282,0.007505889981985092,0.020653247833251953,0.014422476291656494,0.0012007951736450195,0.22353215515613556,0.08269882202148438,0.660822868347168,0.38401877880096436,0.004704289138317108,0.005293548107147217
tssm,662,8,0.09004323184490204,0.012942394241690636,0.12668095529079437,0.006127387750893831,0.01982329785823822,0.0043235644698143005,0.03148777037858963,0.004435643553733826,2.4139881134033203e-05,0.0028820186853408813,0.006036652252078056,0.00156412273645401,0.015694141387939453,0.008182525634765625,0.0045850276947021484,0.043256521224975586,0.08649390935897827,0.10262143611907959,0.3522658348083496,0.01108602061867714,0.0008263199124485254
tssm,662,9,0.12855039536952972,0.009567015804350376,0.18154582381248474,0.009018151089549065,0.023032084107398987,0.000509403645992279,0.007048934698104858,0.010523021221160889,0.0035492777824401855,0.005101822316646576,0.0031512752175331116,0.0016457904130220413,0.1294182538986206,0.24972772598266602,0.03432685136795044,0.03438138961791992,0.3782200813293457,0.14868474006652832,0.22322914004325867,0.01283968798816204,0.0016901204362511635
tssm,662,10,0.13395756483078003,0.011889291927218437,0.1890711635351181,0.018365494906902313,0.024277083575725555,0.008512340486049652,0.01043953001499176,0.005992040038108826,0.004670262336730957,0.0051744431257247925,0.008657678961753845,0.0021538957953453064,0.03329324722290039,0.0049762725830078125,0.035907670855522156,0.20635676383972168,0.08287310600280762,0.08161282539367676,0.5129663944244385,0.0048666843213140965,0.006219508126378059
tssm,662,11,0.19513487815856934,0.012114318087697029,0.275696337223053,0.009552791714668274,0.008311755955219269,0.014105193316936493,0.01486283540725708,0.01481299102306366,0.014034569263458252,0.017064765095710754,0.003512181341648102,0.004546791315078735,0.2414158582687378,0.23300224542617798,0.027431964874267578,0.10636816918849945,0.1931699514389038,0.7189273834228516,0.07246971130371094,0.002530926140025258,0.002908439375460148
tssm,662,12,0.36766934394836426,0.00913743395358324,0.5198826789855957,0.008796438574790955,0.01515515148639679,0.015132755041122437,0.006134510040283203,0.002544909715652466,5.316734313964844e-05,0.01206616684794426,0.004794187843799591,0.0016400925815105438,0.7627795338630676,0.23805545270442963,0.058228373527526855,0.014700263738632202,0.3068394660949707,1.2822108268737793,0.22841548919677734,0.0009670499712228775,0.001620476832613349
tssm,662,13,0.24294117093086243,0.009537197649478912,0.3434382975101471,0.0009609907865524292,0.0166904479265213,0.011207804083824158,0.0021684765815734863,0.004556842148303986,0.004625111818313599,0.01835525780916214,0.0047479234635829926,0.0026826784014701843,0.0011869072914123535,0.5445264577865601,0.28043219447135925,0.22234511375427246,0.6250944137573242,0.38256287574768066,0.3159071207046509,0.005078008398413658,0.0061864545568823814
