metric,horizon,rmse,dim0_rmse,dim1_rmse,dim2_rmse,dim3_rmse
teacher_forced_one_step,1,0.020296482369303703,0.009353377856314182,0.03935951367020607,3.4439159207977355e-05,0.0033362447284162045
rollout,1,0.01939059980213642,0.008684561587870121,0.037639036774635315,3.4809625503839925e-05,0.0034440618474036455
rollout,2,0.03900710120797157,0.017551815137267113,0.07584244757890701,5.958531255600974e-05,0.005105904769152403
rollout,3,0.05932796746492386,0.026754669845104218,0.11541014909744263,8.487415470881388e-05,0.006626410409808159
rollout,4,0.07979051023721695,0.036021213978528976,0.1552579253911972,0.00010952055163215846,0.007971301674842834
rollout,5,0.10054242610931396,0.04542902484536171,0.19565841555595398,0.00013364404730964452,0.00943864043802023
rollout,6,0.12165835499763489,0.05509093031287193,0.23675572872161865,0.0001585967984283343,0.010710572823882103
rollout,7,0.14312203228473663,0.06490225344896317,0.27853626012802124,0.00018249647109769285,0.011869555339217186
rollout,8,0.16468289494514465,0.0747966319322586,0.3204963803291321,0.00020743458298966289,0.013011489063501358
rollout,9,0.18649768829345703,0.08476357161998749,0.36296018958091736,0.0002308659750269726,0.014161329716444016
rollout,10,0.20853209495544434,0.09496044367551804,0.40582409501075745,0.0002546363393776119,0.015223655849695206
rollout,11,0.23083610832691193,0.10521054267883301,0.44923293590545654,0.00027810942265205085,0.016177155077457428
rollout,12,0.2533567249774933,0.11569119244813919,0.49302688241004944,0.00030141137540340424,0.017276138067245483
rollout,13,0.27588704228401184,0.12619714438915253,0.5368366241455078,0.0003257992793805897,0.01830943301320076
rollout,14,0.29876768589019775,0.13684730231761932,0.5813402533531189,0.00035035208566114306,0.01909923553466797
rollout,15,0.3216489255428314,0.14749673008918762,0.6258413195610046,0.000375034665921703,0.019984619691967964
rollout,16,0.3446268141269684,0.15811684727668762,0.6705477833747864,0.00039859063690528274,0.020859938114881516
rollout,17,0.36798256635665894,0.1689653992652893,0.7159699201583862,0.00042350488365627825,0.021959548816084862
rollout,18,0.39136430621147156,0.17984607815742493,0.761442244052887,0.00044763239566236734,0.022912587970495224
rollout,19,0.41498783230781555,0.19080455601215363,0.8073895573616028,0.000473157997475937,0.023982789367437363
rollout,20,0.4388882517814636,0.2019774317741394,0.8538599610328674,0.0004976102500222623,0.024894123896956444
rollout,21,0.46293970942497253,0.213189959526062,0.9006321430206299,0.000523157708812505,0.025771183893084526
rollout,22,0.48730480670928955,0.2245660424232483,0.9480113983154297,0.0005464926362037659,0.026610305532813072
rollout,23,0.5120070576667786,0.23610436916351318,0.9960398077964783,0.0005716214654967189,0.02764168754220009
rollout,24,0.5373086333274841,0.24802839756011963,1.0452123880386353,0.0005957440589554608,0.028544658794999123
rollout,25,0.5628916621208191,0.2601134479045868,1.0949267148971558,0.0006197579787112772,0.02940140850841999
rollout,26,0.588870108127594,0.2724795937538147,1.1453839540481567,0.0006444224854931235,0.030365915969014168
rollout,27,0.6153313517570496,0.28506338596343994,1.196783185005188,0.0006686093984171748,0.03128967806696892
rollout,28,0.6425726413726807,0.29799363017082214,1.2497045993804932,0.000692330242600292,0.032188862562179565
rollout,29,0.6705949902534485,0.31132006645202637,1.3041388988494873,0.0007166556315496564,0.0330396443605423
rollout,30,0.6992290616035461,0.32509496808052063,1.3597201108932495,0.0007402212359011173,0.034041330218315125
rollout,31,0.7286059856414795,0.3394005298614502,1.4167075157165527,0.0007642716518603265,0.03483260050415993
rollout,32,0.7591094970703125,0.35435840487480164,1.4758564233779907,0.0007898597978055477,0.03558133542537689
rollout,33,0.7907620668411255,0.36982497572898865,1.537244200706482,0.0008157009142450988,0.036444488912820816
rollout,34,0.8235657215118408,0.3859904110431671,1.6008353233337402,0.0008396281627938151,0.03714071214199066
rollout,35,0.8579215407371521,0.402936726808548,1.6674296855926514,0.0008629329386167228,0.03790988400578499
rollout,36,0.8938721418380737,0.4209290146827698,1.7370507717132568,0.0008880118257366121,0.03875737637281418
rollout,37,0.9316413402557373,0.4398530125617981,1.8101927042007446,0.0009114989661611617,0.03941734507679939
rollout,38,0.9714082479476929,0.4599345624446869,1.8871628046035767,0.000934612296987325,0.04014262184500694
rollout,39,1.0131266117095947,0.4812808334827423,1.9678391218185425,0.0009564812644384801,0.04097744822502136
rollout,40,1.057192087173462,0.5039199590682983,2.0530354976654053,0.0009816435631364584,0.041580043733119965
rollout,41,1.1039098501205444,0.5281760692596436,2.14329195022583,0.001004307297989726,0.04238554835319519
rollout,42,1.1532676219940186,0.5540771484375,2.238579750061035,0.0010285453172400594,0.04315759986639023
rollout,43,1.2053592205047607,0.5816972255706787,2.3390755653381348,0.0010514979949221015,0.04377333074808121
rollout,44,1.2605926990509033,0.6111702919006348,2.4455795288085938,0.0010768305510282516,0.04456104710698128
rollout,45,1.3187541961669922,0.642680287361145,2.557605504989624,0.0011016798671334982,0.045457080006599426
rollout,46,1.3802802562713623,0.6763885617256165,2.6760122776031494,0.0011256072903051972,0.04637040197849274
rollout,47,1.445341944694519,0.7124958634376526,2.8011062145233154,0.0011483562411740422,0.046970829367637634
rollout,48,1.513757586479187,0.7511735558509827,2.9324543476104736,0.0011733584105968475,0.04793490096926689
rollout,49,1.5853511095046997,0.7924115061759949,3.069701671600342,0.001198567682877183,0.04866237938404083
rollout,50,1.6607106924057007,0.8365433812141418,3.21397066116333,0.0012224833481013775,0.04926721006631851
