metric,horizon,rmse,dim0_rmse,dim1_rmse,dim2_rmse,dim3_rmse,dim4_rmse,dim5_rmse,dim6_rmse,dim7_rmse,dim8_rmse,dim9_rmse,dim10_rmse,dim11_rmse,dim12_rmse,dim13_rmse,dim14_rmse,dim15_rmse,dim16_rmse,dim17_rmse
teacher_forced_one_step,1,0.2276192158460617,0.014558999799191952,0.0153057174757123,0.013433908112347126,0.011648071929812431,0.01262662373483181,0.013165861368179321,0.012743622064590454,0.007285385392606258,0.007154932711273432,0.36041948199272156,0.1934145987033844,0.32908883690834045,0.264922171831131,0.44456401467323303,0.5157834887504578,0.3486905097961426,0.009431459940969944,0.009427914395928383
rollout,1,0.22814786434173584,0.014415815472602844,0.015156551264226437,0.013305486179888248,0.011832885444164276,0.01251260470598936,0.013066237792372704,0.012639801017940044,0.007383078336715698,0.007169126998633146,0.35880398750305176,0.1894245743751526,0.32948800921440125,0.2620604932308197,0.4393949806690216,0.5270475745201111,0.35027921199798584,0.00934456754475832,0.009410450235009193
rollout,2,0.2458178997039795,0.021683325991034508,0.024700306355953217,0.019175080582499504,0.017572039738297462,0.017027389258146286,0.017415137961506844,0.016642192378640175,0.007564880419522524,0.007576149422675371,0.3988587558269501,0.2862529754638672,0.3523882031440735,0.3333507180213928,0.4380072355270386,0.5356695055961609,0.3600243330001831,0.009895728901028633,0.009880046360194683
rollout,3,0.2623170018196106,0.027452241629362106,0.03374788537621498,0.02447461150586605,0.022472381591796875,0.020445728674530983,0.021236084401607513,0.02041592448949814,0.00782522652298212,0.007740950211882591,0.4274985194206238,0.3586325943470001,0.37476783990859985,0.386547714471817,0.4508509337902069,0.5450279116630554,0.36387258768081665,0.010368536226451397,0.01025676541030407
rollout,4,0.2787550985813141,0.03260929509997368,0.04179684817790985,0.029128288850188255,0.02663441188633442,0.023438887670636177,0.0250204186886549,0.023458147421479225,0.008015003055334091,0.00796541478484869,0.4437147080898285,0.4138849079608917,0.3872808814048767,0.4302857220172882,0.47450771927833557,0.5720722079277039,0.3694504201412201,0.010738684795796871,0.01042711641639471
rollout,5,0.29001539945602417,0.03680315241217613,0.048611655831336975,0.03282953053712845,0.02971302531659603,0.0261686984449625,0.02761654183268547,0.026095110923051834,0.008372437208890915,0.008195968344807625,0.4613766074180603,0.45642900466918945,0.4092499911785126,0.4585961699485779,0.5023483633995056,0.5472546219825745,0.39363330602645874,0.01094222441315651,0.010797133669257164
rollout,6,0.30267301201820374,0.04009611904621124,0.05463862419128418,0.03603048250079155,0.032191790640354156,0.02848205901682377,0.030339714139699936,0.02842622995376587,0.008610472083091736,0.008550960570573807,0.4770914614200592,0.4963148534297943,0.42060863971710205,0.47279882431030273,0.5182223916053772,0.5731189846992493,0.40954354405403137,0.011110854335129261,0.010859386995434761
rollout,7,0.31698834896087646,0.04272216558456421,0.05957094207406044,0.03876388445496559,0.03394598513841629,0.030729101970791817,0.03314828500151634,0.030422940850257874,0.008775778114795685,0.00868916418403387,0.49870264530181885,0.5324330925941467,0.4364103078842163,0.49289658665657043,0.5451803207397461,0.594097375869751,0.4260368347167969,0.011164173483848572,0.011102285236120224
rollout,8,0.3289113938808441,0.045156583189964294,0.06370504200458527,0.04093659669160843,0.035379379987716675,0.03252345323562622,0.03537162020802498,0.032028600573539734,0.008958324790000916,0.008994275704026222,0.5062256455421448,0.5636017322540283,0.4507974684238434,0.507742702960968,0.5703226923942566,0.6177731156349182,0.4389397203922272,0.011452576145529747,0.011179782450199127
rollout,9,0.340544193983078,0.04703664407134056,0.0671527087688446,0.04304055869579315,0.03661249205470085,0.03427211940288544,0.03742121905088425,0.03392542898654938,0.009116769768297672,0.009241903200745583,0.5168372988700867,0.5959512591362,0.4638635516166687,0.5142613649368286,0.6028745174407959,0.6249001026153564,0.4663987457752228,0.011357580311596394,0.011368040926754475
rollout,10,0.3538168966770172,0.04870795086026192,0.0695645809173584,0.04455968365073204,0.03769621253013611,0.03594722971320152,0.03972502052783966,0.03539098799228668,0.009389299899339676,0.009430794976651669,0.5289315581321716,0.625089704990387,0.48476743698120117,0.516122043132782,0.6473954916000366,0.6451627612113953,0.4805499017238617,0.011652695015072823,0.011418606154620647
rollout,11,0.36442136764526367,0.05019043758511543,0.07163704931735992,0.045875903218984604,0.038526441901922226,0.03733913600444794,0.041828401386737823,0.036892566829919815,0.009527012705802917,0.009434209205210209,0.5441721081733704,0.652277410030365,0.5017756223678589,0.5123320817947388,0.6719406247138977,0.6602990031242371,0.5009110569953918,0.01159568503499031,0.011446341872215271
rollout,12,0.37724265456199646,0.05133805796504021,0.07339057326316833,0.047139473259449005,0.039532486349344254,0.03872852772474289,0.04407859221100807,0.03805515915155411,0.009726298972964287,0.009673794731497765,0.5576630234718323,0.6772434115409851,0.5164612531661987,0.5271339416503906,0.7122526168823242,0.6676648259162903,0.5264293551445007,0.011730123311281204,0.011665725149214268
